# Data manifest: WASP-52 b, observing night 2026-09-20 (UT frame timestamps 20260920, 03:46-07:37 UT)
# Telescope: MicroObservatory 'Cecilia' (6-inch, Whipple Observatory, AZ; Harvard-Smithsonian CfA)
# Source: MicroObservatory public Image Directory (rolling window; frames age out)
#   listing:  https://waps.cfa.harvard.edu/microobservatory/MOImageDirectory/ImageDirectory.php
#   per-frame: https://mo-www.cfa.harvard.edu/ImageDirectory/<FRAME>.FITS
# Reduction: EXOTIC 4.3.2.dev163 (WBoM branch, 5aa2c50); result: QC MARGINAL, reduced, not submitted; status at https://opusgarden.dev/observatory
# 78 frames; full copies archived on the Opus Garden server (contact opus@opusgarden.dev)
# columns: frame_name  bytes  sha256
WASP-52260920034618.FITS  656640  825458e95dc6c813420ab10427729c02770d6815ad2f8e4efe5aeb6b056bd937
WASP-52260920034816.FITS  656640  fb275f395351038020de07b8f11038adc0bff6e002b6b1c3c850c278c0de8f11
WASP-52260920035115.FITS  656640  6afb4dc394530d9562ac324bd2362747f74b2415ff4c0a62bbb73ac63e172221
WASP-52260920035415.FITS  656640  cdcdbfd8be1e245df7c1fb35c2d3b718a0c76ea21ccea7038cd4dc95002f2ff0
WASP-52260920035715.FITS  656640  0d6f7948e3241a853f003902da118fe0afd3f220c325550dc022d12c5c12ed7e
WASP-52260920040015.FITS  656640  563ff8c5d80aec71aa62fd4296864bee79eca9b434d2f6eedba4bf7439eee60e
WASP-52260920040316.FITS  656640  b8b9c70b846e13af0bb3ec4c9b7191a478fa9a3f1a394d487852c6fca1fa86c2
WASP-52260920040615.FITS  656640  a75923462f5709c6c2cdd4c8df5528fdd485521cb6ec377438e04189b9a78901
WASP-52260920040916.FITS  656640  eb7ab8e5b8b35b82b97f8b4824cc9baf0c1d6b5ef04ed89a8cfdc8396c514b91
WASP-52260920041215.FITS  656640  53240e420c9670a65f1ae327f65e0a20430f0286560c154a8b865a0e59ce836a
WASP-52260920041515.FITS  656640  2ed0224fa45e39766e09839429ac669df6233627bf772d21cf7b406991be2f06
WASP-52260920041816.FITS  656640  4463b9247585202df0adb13456b424d3d65801949bc08cc948f0e6da29231586
WASP-52260920042115.FITS  656640  56792f426e21bbeb0a975be49af103f7a2b6aa5cb7fca9c79e653917e7c89e66
WASP-52260920042415.FITS  656640  36d2484f47f8e77bcd4ee7b2cd3d3f46deb8fe3a5f5052b453c8073463db3278
WASP-52260920042715.FITS  656640  d4c073ea24c12da80405025b9958e82d9b22c1b3ae62d32ce861590abb59c78d
WASP-52260920043015.FITS  656640  22469990f0ad6a0ed8ebd92567dae3be177417932b52df140ee6f150ee3f0005
WASP-52260920043316.FITS  656640  dbf958c08dd94294e4c955855a69a812b3a5e330dd9e1fb8e1d95fa96fbad982
WASP-52260920043615.FITS  656640  8f4a85fbbdad336dd51a79d425a1987108b7f3ba2725f56b0708792214eaa7b6
WASP-52260920043916.FITS  656640  40f964f4d7cb57d3e85c2c8e19e715fbfb497fcaad01fcbedb7b9c143a45150f
WASP-52260920044215.FITS  656640  f4c32fbbcc99e98c30da8e40d6bd4ad25824ec03cd87dd4e0914aa5cce7dae50
WASP-52260920044516.FITS  656640  1e017b3f93c28f7765b4f537e5988201a189a25df2aa10e4f6d34a5b129f6e44
WASP-52260920044816.FITS  656640  cfc6e5457d49b5b02cb773538e831681c12bf6889d32bebe6e2893208c5592fb
WASP-52260920045115.FITS  656640  24fe9004614b3d9a141a31853db4cac863f645ba5ffaff5d0d1afe6fcbadb577
WASP-52260920045415.FITS  656640  d25ad69b027850865abad71874400b5e4e6a640b6d45c2f4b7537d1c8b6afdd4
WASP-52260920045715.FITS  656640  3dd4e5b3b1d5612f98ab9f90776678c96f2c170c35acaa98e20624fdca39fc6f
WASP-52260920050015.FITS  656640  add20774cec6991422d2c85672d15a2235fff495e25a918515d985af95381fc0
WASP-52260920050315.FITS  656640  cee540ce611cfa186d305a829ef3d326f45cee9918e1871518392b94079df374
WASP-52260920050615.FITS  656640  7224a27a8852318709da2520a3320555faa7500943c610135113becacc904840
WASP-52260920050915.FITS  656640  7fce80335d2c99eac85dc56305120b27185005e6c2cf5d932c966919ecd6ae96
WASP-52260920051215.FITS  656640  c56c1f2d3865a91cd1e023dfa410e724cb1269c587647799d6642d80b354e059
WASP-52260920051517.FITS  656640  100580eadcfa402eaf8750cb432d4d72f4d8423f54bd6d1dff80d00e0f4ebf8e
WASP-52260920051815.FITS  656640  d721510573cdf7034f99b00170946f4dcd75ed42969b976d167681ebbfb5375b
WASP-52260920052115.FITS  656640  34ccdb96999b4f5abfd7811aca5f82557d32d60acc17479acfa685053f81930e
WASP-52260920052415.FITS  656640  6cb48df5d660d711d155a2fabb4678fb5b1a0430439c3439e7ef3306e90e1feb
